Resume_ID,Resume_Text,Job_Category,Clean_Resume
1,Python Machine Learning SQL Data Analysis Pandas NumPy,Data Scientist,python machine learning sql data analysis pandas numpy
2,Java Spring Boot REST API MySQL Software Development,Software Developer,java spring boot rest api mysql software development
3,HTML CSS JavaScript React Frontend UI Development,Frontend Developer,html css javascript react frontend ui development
4,AWS Cloud Docker Kubernetes DevOps CI CD,Cloud Engineer,aws cloud docker kubernetes devops ci cd
5,Excel Power BI Statistics Data Visualization,Data Analyst,excel power bi statistics data visualization
6,Python NLP Deep Learning TensorFlow AI Projects,AI Engineer,python nlp deep learning tensorflow ai projects
7,C C++ Embedded Systems IoT Arduino,Embedded Engineer,c c embedded systems iot arduino
8,Database SQL Oracle Data Management,Database Administrator,database sql oracle data management
9,Cyber Security Network Security Ethical Hacking,Cyber Security Analyst,cyber security network security ethical hacking
10,Android Java Kotlin Mobile App Development,Mobile Developer,android java kotlin mobile app development
