Resume_Text,Job_Category
Python Machine Learning Deep Learning SQL Pandas NumPy AI,Data Scientist
Python Data Analysis Statistics Tableau Power BI Excel,Data Analyst
TensorFlow PyTorch NLP Computer Vision Artificial Intelligence,AI Engineer
Java Spring Boot Hibernate REST API MySQL,Software Developer
C++ Java OOP Data Structures Algorithms Software Development,Software Developer
HTML CSS JavaScript React Angular Frontend UI UX,Frontend Developer
AWS Azure Cloud Docker Kubernetes DevOps CI CD,Cloud Engineer
Linux Server Networking Cloud Infrastructure AWS,Cloud Engineer
SQL Database Oracle MySQL Data Management,Database Administrator
MongoDB Database Administrator SQL Queries,Database Administrator
Cyber Security Ethical Hacking Network Security Firewall,Cyber Security Analyst
Information Security Vulnerability Testing Penetration Testing,Cyber Security Analyst
