Resume_ID,Resume_Text,Job_Category
1,Python Machine Learning SQL Data Analysis Pandas NumPy,Data Scientist
2,Java Spring Boot REST API MySQL Software Development,Software Developer
3,HTML CSS JavaScript React Frontend UI Development,Frontend Developer
4,AWS Cloud Docker Kubernetes DevOps CI CD,Cloud Engineer
5,Excel Power BI Statistics Data Visualization,Data Analyst
6,Python NLP Deep Learning TensorFlow AI Projects,AI Engineer
7,C C++ Embedded Systems IoT Arduino,Embedded Engineer
8,Database SQL Oracle Data Management,Database Administrator
9,Cyber Security Network Security Ethical Hacking,Cyber Security Analyst
10,Android Java Kotlin Mobile App Development,Mobile Developer
